start_ts,weather_conditions,duration_seconds
4/11/2017 15:00,Good,2880
25/11/2017 9:00,Good,1473
25/11/2017 4:00,Good,1384
4/11/2017 10:00,Good,2525
4/11/2017 8:00,Good,1323
4/11/2017 8:00,Good,1323
4/11/2017 12:00,Good,2160
18/11/2017 8:00,Bad,1500
25/11/2017 5:00,Good,1487
4/11/2017 6:00,Good,1020
11/11/2017 7:00,Good,1140
18/11/2017 10:00,Bad,1440
4/11/2017 10:00,Good,1883
11/11/2017 14:00,Good,2225
18/11/2017 11:00,Good,2415
4/11/2017 14:00,Good,3411
18/11/2017 12:00,Bad,2571
4/11/2017 12:00,Good,2640
18/11/2017 0:00,Bad,480
18/11/2017 19:00,Good,0
11/11/2017 10:00,Good,1414
11/11/2017 12:00,Good,1981
11/11/2017 8:00,Good,1200
4/11/2017 11:00,Good,2160
11/11/2017 15:00,Good,2400
11/11/2017 20:00,Good,1500
18/11/2017 14:00,Good,3660
25/11/2017 14:00,Good,1740
4/11/2017 18:00,Bad,2580
11/11/2017 16:00,Good,2940
11/11/2017 9:00,Good,1260
4/11/2017 8:00,Good,1380
18/11/2017 15:00,Good,3600
18/11/2017 17:00,Bad,2100
18/11/2017 7:00,Bad,1366
4/11/2017 10:00,Good,1717
4/11/2017 12:00,Good,2441
4/11/2017 10:00,Good,2479
11/11/2017 10:00,Good,1439
4/11/2017 6:00,Good,1207
11/11/2017 13:00,Good,1680
18/11/2017 6:00,Good,1440
18/11/2017 7:00,Bad,1560
4/11/2017 10:00,Good,2112
11/11/2017 15:00,Good,2160
11/11/2017 9:00,Good,1380
4/11/2017 7:00,Good,1200
4/11/2017 11:00,Good,2328
4/11/2017 18:00,Bad,2580
4/11/2017 5:00,Good,1620
4/11/2017 5:00,Good,1217
11/11/2017 8:00,Good,1237
11/11/2017 7:00,Good,1074
18/11/2017 11:00,Good,2120
18/11/2017 8:00,Bad,1404
11/11/2017 10:00,Good,1243
18/11/2017 5:00,Good,1226
11/11/2017 11:00,Good,2100
11/11/2017 5:00,Good,1320
25/11/2017 5:00,Good,1123
11/11/2017 5:00,Good,1504
4/11/2017 6:00,Good,1439
18/11/2017 16:00,Bad,2811
18/11/2017 11:00,Good,2094
11/11/2017 6:00,Good,1430
11/11/2017 6:00,Good,1260
11/11/2017 10:00,Good,1421
18/11/2017 12:00,Bad,3026
4/11/2017 10:00,Good,2006
4/11/2017 14:00,Good,3120
25/11/2017 12:00,Good,1380
11/11/2017 6:00,Good,1415
18/11/2017 13:00,Bad,3390
18/11/2017 14:00,Good,2994
11/11/2017 10:00,Good,1476
11/11/2017 11:00,Good,1620
4/11/2017 17:00,Bad,2640
4/11/2017 7:00,Good,1380
25/11/2017 12:00,Good,1332
4/11/2017 14:00,Good,2760
4/11/2017 17:00,Bad,2940
25/11/2017 12:00,Good,1260
4/11/2017 2:00,Good,2956
11/11/2017 4:00,Good,1304
25/11/2017 10:00,Good,1676
11/11/2017 6:00,Good,1380
18/11/2017 12:00,Bad,2700
4/11/2017 11:00,Good,2700
4/11/2017 6:00,Good,2928
11/11/2017 6:00,Good,3332
4/11/2017 13:00,Good,3008
18/11/2017 12:00,Bad,4980
18/11/2017 4:00,Good,1737
18/11/2017 6:00,Good,1380
4/11/2017 5:00,Good,1365
25/11/2017 6:00,Good,2842
11/11/2017 11:00,Good,1680
11/11/2017 10:00,Good,1872
4/11/2017 18:00,Bad,2255
11/11/2017 6:00,Good,1320
4/11/2017 16:00,Bad,2620
4/11/2017 12:00,Good,2740
11/11/2017 6:00,Good,1498
11/11/2017 9:00,Good,1443
11/11/2017 10:00,Good,1200
4/11/2017 12:00,Good,2460
11/11/2017 7:00,Good,1440
18/11/2017 6:00,Good,1680
4/11/2017 14:00,Good,3360
11/11/2017 8:00,Good,1404
18/11/2017 15:00,Good,3660
4/11/2017 17:00,Bad,2640
4/11/2017 16:00,Bad,2981
25/11/2017 7:00,Good,1363
4/11/2017 9:00,Good,1839
4/11/2017 6:00,Good,1500
11/11/2017 7:00,Good,1500
18/11/2017 11:00,Good,2412
18/11/2017 14:00,Good,3780
11/11/2017 18:00,Good,3900
4/11/2017 12:00,Good,2897
18/11/2017 6:00,Good,1201
4/11/2017 10:00,Good,2444
11/11/2017 12:00,Good,1860
4/11/2017 12:00,Good,2460
4/11/2017 18:00,Bad,2220
4/11/2017 16:00,Bad,2995
25/11/2017 11:00,Good,1643
11/11/2017 11:00,Good,1530
11/11/2017 6:00,Good,1441
4/11/2017 11:00,Good,2425
11/11/2017 5:00,Good,1386
25/11/2017 18:00,Good,2280
18/11/2017 13:00,Bad,3317
25/11/2017 14:00,Good,1758
4/11/2017 14:00,Good,3000
4/11/2017 6:00,Good,1496
18/11/2017 14:00,Good,2940
11/11/2017 11:00,Good,1740
4/11/2017 12:00,Good,3057
4/11/2017 11:00,Good,2611
4/11/2017 14:00,Good,3887
4/11/2017 12:00,Good,2400
25/11/2017 9:00,Good,1320
11/11/2017 9:00,Good,1623
11/11/2017 10:00,Good,1554
25/11/2017 6:00,Good,1391
4/11/2017 7:00,Good,1140
11/11/2017 6:00,Good,1260
18/11/2017 6:00,Good,1740
11/11/2017 8:00,Good,1380
11/11/2017 10:00,Good,1560
4/11/2017 16:00,Bad,2880
25/11/2017 16:00,Good,1620
11/11/2017 17:00,Good,2040
18/11/2017 8:00,Bad,1440
25/11/2017 15:00,Good,1672
11/11/2017 16:00,Good,2141
11/11/2017 6:00,Good,1260
4/11/2017 17:00,Bad,2880
11/11/2017 17:00,Good,2271
11/11/2017 18:00,Good,2606
11/11/2017 17:00,Good,2460
11/11/2017 12:00,Good,1800
4/11/2017 6:00,Good,1547
11/11/2017 8:00,Good,1320
11/11/2017 17:00,Good,2580
11/11/2017 14:00,Good,2280
25/11/2017 18:00,Good,4140
25/11/2017 11:00,Good,7440
11/11/2017 16:00,Good,2400
4/11/2017 16:00,Bad,2618
4/11/2017 5:00,Good,1320
18/11/2017 16:00,Bad,2820
18/11/2017 16:00,Bad,2820
4/11/2017 14:00,Good,2940
4/11/2017 14:00,Good,2940
11/11/2017 15:00,Good,2274
4/11/2017 7:00,Good,1440
11/11/2017 10:00,Good,1709
4/11/2017 12:00,Good,2761
11/11/2017 14:00,Good,2400
11/11/2017 11:00,Good,1620
11/11/2017 6:00,Good,1354
4/11/2017 6:00,Good,1473
11/11/2017 9:00,Good,1200
11/11/2017 11:00,Good,1596
4/11/2017 19:00,Good,2037
4/11/2017 14:00,Good,3180
25/11/2017 15:00,Good,2040
11/11/2017 20:00,Good,1980
11/11/2017 4:00,Good,1620
18/11/2017 8:00,Bad,1680
4/11/2017 8:00,Good,1686
18/11/2017 14:00,Good,2940
11/11/2017 7:00,Good,1261
18/11/2017 12:00,Bad,2640
11/11/2017 11:00,Good,1140
11/11/2017 14:00,Good,2040
11/11/2017 11:00,Good,1440
4/11/2017 12:00,Good,2520
4/11/2017 16:00,Bad,3000
11/11/2017 6:00,Good,1380
18/11/2017 10:00,Bad,1610
25/11/2017 12:00,Good,1708
18/11/2017 5:00,Good,1422
25/11/2017 12:00,Good,1500
18/11/2017 10:00,Bad,1740
4/11/2017 14:00,Good,2982
18/11/2017 7:00,Bad,1322
4/11/2017 16:00,Bad,2894
25/11/2017 7:00,Good,1217
4/11/2017 17:00,Bad,2340
11/11/2017 17:00,Good,2640
11/11/2017 6:00,Good,1560
4/11/2017 14:00,Good,3427
4/11/2017 11:00,Good,2418
4/11/2017 18:00,Bad,2458
11/11/2017 14:00,Good,2400
11/11/2017 12:00,Good,1961
11/11/2017 18:00,Good,2885
4/11/2017 6:00,Good,1293
11/11/2017 8:00,Good,1320
11/11/2017 11:00,Good,1320
4/11/2017 15:00,Good,3615
4/11/2017 16:00,Bad,3420
11/11/2017 6:00,Good,1270
11/11/2017 7:00,Good,1335
11/11/2017 4:00,Good,1219
18/11/2017 5:00,Good,1336
25/11/2017 6:00,Good,1331
11/11/2017 9:00,Good,1571
25/11/2017 12:00,Good,2286
4/11/2017 7:00,Good,1563
25/11/2017 11:00,Good,1541
25/11/2017 11:00,Good,1680
11/11/2017 18:00,Good,3180
11/11/2017 4:00,Good,1338
11/11/2017 8:00,Good,1440
11/11/2017 13:00,Good,420
11/11/2017 7:00,Good,1440
11/11/2017 7:00,Good,1443
11/11/2017 12:00,Good,2700
25/11/2017 6:00,Good,1372
4/11/2017 10:00,Good,2286
4/11/2017 8:00,Good,1421
4/11/2017 13:00,Good,3203
11/11/2017 7:00,Good,1419
11/11/2017 14:00,Good,2220
18/11/2017 5:00,Good,1346
25/11/2017 12:00,Good,1553
25/11/2017 15:00,Good,2204
4/11/2017 14:00,Good,3528
11/11/2017 13:00,Good,2262
11/11/2017 14:00,Good,2100
11/11/2017 8:00,Good,1380
11/11/2017 13:00,Good,2091
11/11/2017 8:00,Good,1205
18/11/2017 3:00,Good,1259
18/11/2017 4:00,Good,1134
4/11/2017 10:00,Good,2694
4/11/2017 12:00,Good,2410
11/11/2017 9:00,Good,1440
18/11/2017 11:00,Good,2520
18/11/2017 10:00,Bad,1560
11/11/2017 6:00,Good,1200
25/11/2017 15:00,Good,2220
25/11/2017 17:00,Good,2160
25/11/2017 12:00,Good,1620
4/11/2017 10:00,Good,1860
4/11/2017 16:00,Bad,2820
4/11/2017 13:00,Good,3394
11/11/2017 14:00,Good,2820
11/11/2017 14:00,Good,2820
11/11/2017 10:00,Good,1560
11/11/2017 10:00,Good,1560
11/11/2017 12:00,Good,1968
4/11/2017 5:00,Good,1200
4/11/2017 10:00,Good,1860
